id,gender,"race_ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
0,female,"group B","bachelor's degree","standard","none","72","72","74"
1,female,"group C","some college","standard","completed","69","90","88"
2,female,"group B","master's degree","standard","none","90","95","93"
3,male,"group A","associate's degree","free/reduced","none","47","57","44"
4,male,"group C","some college","standard","none","76","78","75"
5,female,"group B","associate's degree","standard","none","71","83","78"
6,female,"group B","some college","standard","completed","88","95","92"
7,male,"group B","some college","free/reduced","none","40","43","39"
8,male,"group D","high school","free/reduced","completed","64","64","67"
9,female,"group B","high school","free/reduced","none","38","60","50"
10,male,"group C","associate's degree","standard","none","58","54","52"
11,male,"group D","associate's degree","standard","none","40","52","43"
12,female,"group B","high school","standard","none","65","81","73"
13,male,"group A","some college","standard","completed","78","72","70"
14,female,"group A","master's degree","standard","none","50","53","58"
15,female,"group C","some high school","standard","none","69","75","78"
16,male,"group C","high school","standard","none","88","89","86"
17,female,"group B","some high school","free/reduced","none","18","32","28"
18,male,"group C","master's degree","free/reduced","completed","46","42","46"
19,female,"group C","associate's degree","free/reduced","none","54","58","61"
20,male,"group D","high school","standard","none","66","69","63"
21,female,"group B","some college","free/reduced","completed","65","75","70"
22,male,"group D","some college","standard","none","44","54","53"
23,female,"group C","some high school","standard","none","69","73","73"
24,male,"group D","bachelor's degree","free/reduced","completed","74","71","80"
25,male,"group A","master's degree","free/reduced","none","73","74","72"
26,male,"group B","some college","standard","none","69","54","55"
27,female,"group C","bachelor's degree","standard","none","67","69","75"
28,male,"group C","high school","standard","none","70","70","65"
29,female,"group D","master's degree","standard","none","62","70","75"
30,female,"group D","some college","standard","none","69","74","74"
31,female,"group B","some college","standard","none","63","65","61"
32,female,"group E","master's degree","free/reduced","none","56","72","65"
33,male,"group D","some college","standard","none","40","42","38"
34,male,"group E","some college","standard","none","97","87","82"
35,male,"group E","associate's degree","standard","completed","81","81","79"
36,female,"group D","associate's degree","standard","none","74","81","83"
37,female,"group D","some high school","free/reduced","none","50","64","59"
38,female,"group D","associate's degree","free/reduced","completed","75","90","88"